case,setting,seed,noise_level,space_stride,time_stride,method,ErrD,ErrR,unseen
case_c,noise_5,2,0.05,1,1,weak_poly,0.030409110300960374,0.14521015479872887,0.0025912351818402454
case_c,sparse_space,0,0.0,2,1,mlp,0.07228019833564758,0.22288982570171356,0.0047192505329542245
case_c,sparse_space,0,0.0,2,1,strong_poly,0.04381946095156023,0.0805417639274774,0.003049957957574242
case_c,sparse_space,0,0.0,2,1,weak_poly,0.08004013986000155,0.16447132188277128,0.005543436951252433
case_c,sparse_space,1,0.0,2,1,mlp,0.07730114459991455,0.18965044617652893,0.005468065986059802
case_c,sparse_space,1,0.0,2,1,strong_poly,0.04275895711629197,0.07294018969009651,0.0030664977974243796
case_c,sparse_space,1,0.0,2,1,weak_poly,0.07298143145472367,0.11881462168229824,0.005746704236424765
case_c,sparse_space,2,0.0,2,1,mlp,0.06787063926458359,0.21885989606380463,0.004532050058305892
case_c,sparse_space,2,0.0,2,1,strong_poly,0.03605883298714351,0.06797630818138548,0.002265566530467251
case_c,sparse_space,2,0.0,2,1,weak_poly,0.05511657520753201,0.08118181039735577,0.0038869288316562387
case_c,sparse_time,0,0.0,1,2,mlp,0.03118729032576084,0.18315410614013672,0.0027098422578973936
case_c,sparse_time,0,0.0,1,2,strong_poly,0.02300999439627105,0.023080796232447028,0.0009496782670365206
case_c,sparse_time,0,0.0,1,2,weak_poly,0.020944604158550168,0.024160025149221914,0.0011558062977065533
case_c,sparse_time,1,0.0,1,2,mlp,0.035799313336610794,0.16221891343593597,0.003178963701128325
case_c,sparse_time,1,0.0,1,2,strong_poly,0.02353075978250823,0.01684138120935614,0.0009599647383509446
case_c,sparse_time,1,0.0,1,2,weak_poly,0.020716865100024982,0.017784766668886315,0.0012984199073885901
case_c,sparse_time,2,0.0,1,2,mlp,0.04932818189263344,0.2050582617521286,0.0037250324552452886
case_c,sparse_time,2,0.0,1,2,strong_poly,0.024337104592313204,0.02983097731477791,0.0010775101511255483
case_c,sparse_time,2,0.0,1,2,weak_poly,0.01853402981986823,0.015596168396814415,0.0012291639360023027
case_c,sparse_both,0,0.0,2,2,mlp,0.07205281406641006,0.2229568511247635,0.004705454437315483
case_c,sparse_both,0,0.0,2,2,strong_poly,0.0437776104159527,0.08033309334013464,0.0030473714794111103
case_c,sparse_both,0,0.0,2,2,weak_poly,0.07997076829016535,0.16441697862471616,0.005540564276109868
case_c,sparse_both,1,0.0,2,2,mlp,0.07716221362352371,0.18974189460277557,0.005457798808147662
case_c,sparse_both,1,0.0,2,2,strong_poly,0.04272254730412463,0.07277536417466184,0.003064381150597658
