case,setting,seed,noise_level,space_stride,time_stride,method,ErrD,ErrR,unseen
case_exp,noise_5,2,0.05,1,1,strong_poly,0.9821616755792716,9.507411491390858,0.10982881986941298
case_exp,noise_5,2,0.05,1,1,weak_poly,0.06870080854905723,0.3945725261812363,0.002742280460027004
case_exp,sparse_space,0,0.0,2,1,mlp,0.076229989528656,0.5673102140426636,0.004314730517527506
case_exp,sparse_space,0,0.0,2,1,strong_poly,0.07758552251540374,0.3709498964958985,0.00394218460760796
case_exp,sparse_space,0,0.0,2,1,weak_poly,0.08767518232342209,0.8136557982665674,0.006014896943796241
case_exp,sparse_space,1,0.0,2,1,mlp,0.07039286196231842,0.5430431365966797,0.004907009854134526
case_exp,sparse_space,1,0.0,2,1,strong_poly,0.0707941542179869,0.33302710614708336,0.004324621272106649
case_exp,sparse_space,1,0.0,2,1,weak_poly,0.0802148943584727,0.3644711597075428,0.006174599566493813
case_exp,sparse_space,2,0.0,2,1,mlp,0.0694991871714592,0.5277096629142761,0.004441453882514518
case_exp,sparse_space,2,0.0,2,1,strong_poly,0.06420430400111442,0.3990249426539387,0.0039030884713093447
case_exp,sparse_space,2,0.0,2,1,weak_poly,0.07527238865303205,0.292835832062565,0.004167836574721403
case_exp,sparse_time,0,0.0,1,2,mlp,0.04781481623649597,0.4862833619117737,0.003042505406737903
case_exp,sparse_time,0,0.0,1,2,strong_poly,0.07731110841216543,0.5561973369477018,0.002726588244615218
case_exp,sparse_time,0,0.0,1,2,weak_poly,0.06063187846211515,0.1714009785509465,0.0023349443765077376
case_exp,sparse_time,1,0.0,1,2,mlp,0.04690639674663544,0.4693862199783325,0.003166052786171677
case_exp,sparse_time,1,0.0,1,2,strong_poly,0.072451253494023,0.2562153266618046,0.002116290032692004
case_exp,sparse_time,1,0.0,1,2,weak_poly,0.06558281668120915,0.07373499765941693,0.0019827711362630537
case_exp,sparse_time,2,0.0,1,2,mlp,0.04726555198431015,0.46904584765434265,0.0032825986096647465
case_exp,sparse_time,2,0.0,1,2,strong_poly,0.07802404745715717,0.37301990170644655,0.00234796587639468
case_exp,sparse_time,2,0.0,1,2,weak_poly,0.06584370446326354,0.06670211945320109,0.002104659915531525
case_exp,sparse_both,0,0.0,2,2,mlp,0.07610422372817993,0.5662341713905334,0.0043312137405762405
case_exp,sparse_both,0,0.0,2,2,strong_poly,0.07896242273147919,0.3944598123995728,0.003959136687926668
case_exp,sparse_both,0,0.0,2,2,weak_poly,0.08829075389440937,0.7928875422911453,0.006056477764702519
case_exp,sparse_both,1,0.0,2,2,mlp,0.06857211887836456,0.5415381789207458,0.00484921655222751
case_exp,sparse_both,1,0.0,2,2,strong_poly,0.07298721777013,0.33213627757018027,0.004240529638960569
case_exp,sparse_both,1,0.0,2,2,weak_poly,0.0803874861325848,0.37288552458628127,0.006207091284866304
case_exp,sparse_both,2,0.0,2,2,mlp,0.06758616119623184,0.5248270034790039,0.0043488042330023435
case_exp,sparse_both,2,0.0,2,2,strong_poly,0.06649787969674498,0.36341556168284256,0.0037342149685522306
case_exp,sparse_both,2,0.0,2,2,weak_poly,0.07517732069969078,0.28806290626821024,0.004132842625992517
